src_ip,src_mac,dst_mac,status,timestamp
192.168.1.1,c0:25:2f:b7:f8:a3,01:00:5e:7f:ff:fa,OK,2023-07-18 13:33:20
192.168.1.1,c0:25:2f:b7:f8:a3,01:00:5e:7f:ff:fa,OK,2023-07-18 13:33:20
192.168.1.1,c0:25:2f:b7:f8:a3,01:00:5e:7f:ff:fa,OK,2023-07-18 13:33:20
192.168.1.1,c0:25:2f:b7:f8:a3,01:00:5e:7f:ff:fa,OK,2023-07-18 13:33:20
192.168.1.1,c0:25:2f:b7:f8:a3,01:00:5e:7f:ff:fa,OK,2023-07-18 13:33:20
192.168.1.1,c0:25:2f:b7:f8:a3,01:00:5e:7f:ff:fa,OK,2023-07-18 13:33:20
192.168.1.1,c0:25:2f:b7:f8:a3,01:00:5e:7f:ff:fa,OK,2023-07-18 13:33:20
192.168.1.1,c0:25:2f:b7:f8:a3,01:00:5e:7f:ff:fa,OK,2023-07-18 13:33:20
192.168.1.1,c0:25:2f:b7:f8:a3,01:00:5e:7f:ff:fa,OK,2023-07-18 13:33:20
248.163.192.168,c0:25:2f:b7:f8:a3,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:20
34.164.192.168,ac:22:0b:2d:22:a4,c0:25:2f:b7:f8:a3,OK,2023-07-18 13:33:20
192.168.1.103,00:14:c2:54:03:3f,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:21
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:21
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:21
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:22
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:23
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:23
248.163.192.168,c0:25:2f:b7:f8:a3,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:23
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:24
248.163.192.168,c0:25:2f:b7:f8:a3,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:24
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:25
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:25
192.168.1.100,b0:6e:bf:73:11:82,ff:ff:ff:ff:ff:ff,OK,2023-07-18 13:33:26
